Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual,Year
Finland,nan,1,7.632,1.305,Nan,0.874,0.681,0.393,0.202,Nan,2018
Norway,nan,2,7.594,1.456,Nan,0.861,0.686,0.34,0.286,Nan,2018
Denmark,nan,3,7.555,1.351,Nan,0.868,0.683,0.408,0.284,Nan,2018
Iceland,nan,4,7.495,1.343,Nan,0.914,0.677,0.138,0.353,Nan,2018
Switzerland,nan,5,7.487,1.42,Nan,0.927,0.66,0.357,0.256,Nan,2018
Netherlands,nan,6,7.441,1.361,Nan,0.878,0.638,0.295,0.333,Nan,2018
Canada,nan,7,7.328,1.33,Nan,0.896,0.653,0.291,0.321,Nan,2018
New Zealand,nan,8,7.324,1.268,Nan,0.876,0.669,0.389,0.365,Nan,2018
Sweden,nan,9,7.314,1.355,Nan,0.913,0.659,0.383,0.285,Nan,2018
Australia,nan,10,7.272,1.34,Nan,0.91,0.647,0.302,0.361,Nan,2018
United Kingdom,nan,11,7.19,1.244,Nan,0.888,0.464,0.082,0.262,Nan,2018
Austria,nan,12,7.139,1.341,Nan,0.891,0.617,0.224,0.242,Nan,2018
Costa Rica,nan,13,7.072,1.01,Nan,0.817,0.632,0.101,0.143,Nan,2018
Ireland,nan,14,6.977,1.448,Nan,0.876,0.614,0.306,0.307,Nan,2018
Germany,nan,15,6.965,1.34,Nan,0.861,0.586,0.28,0.273,Nan,2018
Belgium,nan,16,6.927,1.324,Nan,0.894,0.583,0.24,0.188,Nan,2018
Luxembourg,nan,17,6.91,1.576,Nan,0.896,0.632,0.321,0.196,Nan,2018
United States,nan,18,6.886,1.398,Nan,0.819,0.547,0.133,0.291,Nan,2018
Israel,nan,19,6.814,1.301,Nan,0.883,0.533,0.272,0.354,Nan,2018
United Arab Emirates,nan,20,6.774,2.096,Nan,0.67,0.284,N/A,0.186,Nan,2018
Czech Republic,nan,21,6.711,1.233,Nan,0.854,0.543,0.034,0.064,Nan,2018
Malta,nan,22,6.627,1.27,Nan,0.884,0.645,0.142,0.376,Nan,2018
France,nan,23,6.489,1.293,Nan,0.908,0.52,0.176,0.098,Nan,2018
Mexico,nan,24,6.488,1.038,Nan,0.761,0.479,0.095,0.069,Nan,2018
Chile,nan,25,6.476,1.131,Nan,0.808,0.431,0.061,0.197,Nan,2018
Taiwan,nan,26,6.441,1.365,Nan,0.857,0.418,0.078,0.151,Nan,2018
Panama,nan,27,6.43,1.112,Nan,0.759,0.597,0.063,0.125,Nan,2018
Brazil,nan,28,6.419,0.986,Nan,0.675,0.493,0.088,0.11,Nan,2018
Argentina,nan,29,6.388,1.073,Nan,0.744,0.57,0.054,0.062,Nan,2018
Guatemala,nan,30,6.382,0.781,Nan,0.608,0.604,0.071,0.179,Nan,2018
Uruguay,nan,31,6.379,1.093,Nan,0.771,0.625,0.155,0.13,Nan,2018
Qatar,nan,32,6.374,1.649,Nan,0.748,0.654,0.171,0.256,Nan,2018
Saudi Arabia,nan,33,6.371,1.379,Nan,0.633,0.509,0.127,0.098,Nan,2018
Singapore,nan,34,6.343,1.529,Nan,1.008,0.631,0.457,0.261,Nan,2018
Malaysia,nan,35,6.322,1.161,Nan,0.669,0.356,0.059,0.311,Nan,2018
Spain,nan,36,6.31,1.251,Nan,0.965,0.449,0.074,0.142,Nan,2018
Colombia,nan,37,6.26,0.96,Nan,0.635,0.531,0.039,0.099,Nan,2018
Trinidad & Tobago,nan,38,6.192,1.223,Nan,0.564,0.575,0.019,0.171,Nan,2018
Slovakia,nan,39,6.173,1.21,Nan,0.776,0.354,0.014,0.118,Nan,2018
