Happiness_Rank,Year,Country,Region,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Generosity,Trust_in_Gov,Dystopia_Residual
0,2021,Finland,Western Europe,7.842,10.775,0.954,72.0,0.949,-0.098,0.186,3.253
1,2021,Denmark,Western Europe,7.62,10.933,0.954,72.7,0.946,0.03,0.179,2.868
2,2021,Switzerland,Western Europe,7.571,11.117,0.942,74.4,0.919,0.025,0.292,2.839
3,2021,Iceland,Western Europe,7.554,10.878,0.983,73.0,0.955,0.16,0.673,2.967
4,2021,Netherlands,Western Europe,7.464,10.932,0.942,72.4,0.913,0.175,0.338,2.798
5,2021,Norway,Western Europe,7.392,11.053,0.954,73.3,0.96,0.093,0.27,2.58
6,2021,Sweden,Western Europe,7.363,10.867,0.934,72.7,0.945,0.086,0.237,2.683
7,2021,Luxembourg,Western Europe,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,2.653
8,2021,New Zealand,North America and ANZ,7.277,10.643,0.948,73.4,0.929,0.134,0.242,2.612
9,2021,Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,2.784
10,2021,Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,2.598
11,2021,Israel,Middle East and North Africa,7.157,10.575,0.939,73.503,0.8,0.031,0.753,3.083
12,2021,Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,2.824
13,2021,Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,2.585
14,2021,Ireland,Western Europe,7.085,11.342,0.947,72.4,0.879,0.077,0.363,2.384
15,2021,Costa Rica,Latin America and Caribbean,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,3.387
16,2021,United Kingdom,Western Europe,7.064,10.707,0.934,72.5,0.859,0.233,0.459,2.596
17,2021,Czech Republic,Central and Eastern Europe,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,3.124
18,2021,United States,North America and ANZ,6.951,11.023,0.92,68.2,0.837,0.098,0.698,2.807
19,2021,Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,2.862
20,2021,France,Western Europe,6.69,10.704,0.942,74.0,0.822,-0.147,0.571,2.521
21,2021,Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,2.631
22,2021,Malta,Western Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,2.268
23,2021,Taiwan Province of China,East Asia,6.584,10.871,0.898,69.6,0.784,-0.07,0.721,2.687
24,2021,United Arab Emirates,Middle East and North Africa,6.561,11.085,0.844,67.333,0.932,0.074,0.589,2.422
25,2021,Saudi Arabia,Middle East and North Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,2.668
26,2021,Spain,Western Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,2.513
27,2021,Italy,Western Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,2.794
28,2021,Slovenia,Central and Eastern Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,2.388
29,2021,Guatemala,Latin America and Caribbean,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,3.375
30,2021,Uruguay,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,2.6
31,2021,Singapore,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,1.379
32,2021,Kosovo,Central and Eastern Europe,6.372,9.318,0.821,63.813,0.869,0.257,0.917,3.182
33,2021,Slovakia,Central and Eastern Europe,6.331,10.369,0.936,69.201,0.766,-0.124,0.911,2.714
