Country,Happiness_Rank,Happiness_Score,Economy_GDP,Explained by: Social support,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual
Finland,1,7.821,1.892,1.258,0.775,0.736,0.534,0.109,2.518
Denmark,2,7.636,1.953,1.243,0.777,0.719,0.532,0.188,2.226
Iceland,3,7.557,1.936,1.32,0.803,0.718,0.191,0.27,2.32
Switzerland,4,7.512,2.026,1.226,0.822,0.677,0.461,0.147,2.153
Netherlands,5,7.415,1.945,1.206,0.787,0.651,0.419,0.271,2.137
Luxembourg*,6,7.404,2.209,1.155,0.79,0.7,0.388,0.12,2.042
Sweden,7,7.384,1.92,1.204,0.803,0.724,0.512,0.218,2.003
Norway,8,7.365,1.997,1.239,0.786,0.728,0.474,0.217,1.925
Israel,9,7.364,1.826,1.221,0.818,0.568,0.143,0.155,2.634
New Zealand,10,7.2,1.852,1.235,0.752,0.68,0.483,0.245,1.954
Austria,11,7.163,1.931,1.165,0.774,0.623,0.329,0.193,2.148
Australia,12,7.162,1.9,1.203,0.772,0.676,0.341,0.258,2.011
Ireland,13,7.041,2.129,1.166,0.779,0.627,0.408,0.19,1.743
Germany,14,7.034,1.924,1.088,0.776,0.585,0.358,0.163,2.142
Canada,15,7.025,1.886,1.188,0.783,0.659,0.368,0.217,1.924
United States,16,6.977,1.982,1.182,0.628,0.574,0.177,0.22,2.214
United Kingdom,17,6.943,1.867,1.143,0.75,0.597,0.329,0.289,1.967
Czechia,18,6.92,1.815,1.26,0.715,0.66,0.048,0.158,2.263
Belgium,19,6.805,1.907,1.106,0.764,0.492,0.204,0.049,2.283
France,20,6.687,1.863,1.219,0.808,0.567,0.266,0.07,1.895
Bahrain,21,6.647,1.854,1.029,0.625,0.693,0.155,0.199,2.092
Slovenia,22,6.63,1.81,1.249,0.769,0.685,0.115,0.118,1.885
Costa Rica,23,6.582,1.584,1.054,0.744,0.661,0.102,0.089,2.346
United Arab Emirates,24,6.576,1.998,0.98,0.633,0.702,0.25,0.204,1.809
Saudi Arabia,25,6.523,1.87,1.092,0.577,0.651,0.18,0.078,2.075
Taiwan Province of China,26,6.512,1.897,1.095,0.733,0.542,0.168,0.075,2.002
Singapore,27,6.48,2.149,1.127,0.851,0.672,0.587,0.163,0.932
Romania,28,6.477,1.719,1.006,0.655,0.605,0.006,0.039,2.446
Spain,29,6.476,1.808,1.211,0.808,0.505,0.149,0.101,1.893
Uruguay,30,6.474,1.615,1.18,0.672,0.665,0.265,0.103,1.974
Italy,31,6.467,1.834,1.052,0.801,0.412,0.059,0.085,2.222
Kosovo,32,6.455,1.362,0.949,0.569,0.599,0.035,0.309,2.631
Malta,33,6.447,1.838,1.169,0.789,0.679,0.166,0.174,1.631
Lithuania,34,6.446,1.804,1.204,0.659,0.496,0.077,0.053,2.153
Slovakia,35,6.391,1.736,1.232,0.707,0.479,0.025,0.118,2.094
Estonia,36,6.341,1.793,1.232,0.728,0.689,0.333,0.123,1.442
Panama,37,6.309,1.715,1.107,0.709,0.592,0.051,0.049,2.086
Brazil,38,6.293,1.462,1.044,0.615,0.546,0.134,0.131,2.361
Guatemala*,39,6.262,1.274,0.831,0.522,0.662,0.115,0.112,2.746
Kazakhstan,40,6.234,1.668,1.22,0.611,0.584,0.157,0.134,1.86
Cyprus,41,6.221,1.815,0.909,0.819,0.448,0.062,0.123,2.044
Latvia,42,6.18,1.732,1.221,0.637,0.502,0.09,0.075,1.923
Serbia,43,6.178,1.55,1.086,0.658,0.546,0.088,0.219,2.031
Chile,44,6.172,1.651,1.08,0.748,0.46,0.069,0.124,2.04
Nicaragua,45,6.165,1.105,1.029,0.617,0.617,0.212,0.168,2.418
Mexico,46,6.128,1.552,0.886,0.623,0.621,0.115,0.092,2.239
Croatia,47,6.125,1.705,1.183,0.709,0.535,0.0,0.109,1.884
Poland,48,6.123,1.758,1.174,0.712,0.523,0.14,0.124,1.693
El Salvador,49,6.12,1.265,0.768,0.607,0.666,0.212,0.089,2.514
Kuwait*,50,6.106,1.904,0.983,0.747,0.617,0.147,0.087,1.621
Hungary,51,6.086,1.748,1.233,0.668,0.485,0.064,0.078,1.812
Mauritius,52,6.071,1.591,1.116,0.568,0.589,0.107,0.131,1.969
Uzbekistan,53,6.063,1.219,1.092,0.6,0.716,0.24,0.283,1.913
Japan,54,6.039,1.835,1.089,0.866,0.537,0.218,0.007,1.487
Honduras,55,6.022,1.111,0.885,0.555,0.582,0.076,0.202,2.611
Portugal,56,6.016,1.76,1.078,0.777,0.655,0.039,0.016,1.691
Argentina,57,5.967,1.592,1.102,0.662,0.555,0.085,0.081,1.891
Greece,58,5.948,1.703,0.98,0.774,0.249,0.108,0.015,2.119
South Korea,59,5.935,1.851,0.886,0.841,0.414,0.176,0.111,1.656
Philippines,60,5.904,1.268,0.912,0.514,0.678,0.142,0.107,2.283
Thailand,61,5.891,1.535,1.096,0.697,0.617,0.026,0.321,1.6
Moldova,62,5.857,1.417,1.008,0.597,0.561,0.028,0.102,2.142
Jamaica,63,5.85,1.296,1.045,0.646,0.567,0.053,0.08,2.164
Kyrgyzstan,64,5.828,1.069,1.109,0.638,0.693,0.025,0.208,2.087
Belarus*,65,5.821,1.562,1.157,0.629,0.342,0.282,0.04,1.811
Colombia,66,5.781,1.452,0.929,0.72,0.545,0.077,0.087,1.971
Bosnia and Herzegovina,67,5.768,1.468,1.068,0.665,0.448,0.006,0.244,1.869
Mongolia,68,5.761,1.393,1.197,0.467,0.398,0.059,0.247,1.999
Dominican Republic,69,5.737,1.538,1.003,0.577,0.606,0.179,0.084,1.751
Malaysia,70,5.711,1.689,0.938,0.62,0.654,0.126,0.213,1.471
Bolivia,71,5.6,1.256,0.88,0.555,0.627,0.064,0.112,2.107
